index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
1,AKT,AKT,positive,BL,indirect,2,,AKT does not self-regulate but it participates in a positive feedback loop with mTORC2_pm.
2,EGFR,AKT,positive,BL,indirect,2,,"causal effect mediated by PI3K, others"
3,HER2,AKT,positive,BL,indirect,2,,"causal effect mediated by PI3K, others"
4,HER3,AKT,positive,BL,indirect,2,,"causal effect mediated by PI3K, others"
5,PTEN,AKT,negative,BL,indirect,2,,causal effect mediated by PIP3
6,CyclinB1,CyclinB1,positive,BL,unsupported,-,,This inferred self-regulation is not supported by mechanistic evidence of self-regulation or a positive feedback loop.
7,EGFR,CyclinB1,positive,BL,indirect,2,,causal effect mediated by the PI3K and/or MAPK pathways
8,HER3,CyclinB1,positive,BL,indirect,2,,"causal effect mediated by PI3K, AKT, MEK"
9,p53,CyclinB1,negative,BL,direct,1,regulates,regulation of transcription. p53 can associate with the CCNB1 promoter through other DNA-bound transcription factors and reduces CCNB1 transcription.
10,AKT,CyclinD,positive,BL,indirect,2,,causal effect mediated by GSK3B
11,CyclinD,CyclinD,positive,BL,unsupported,-,,This inferred self-regulation is not supported by experimental evidence of self-regulation or a positive feedback loop.
12,ERK,CyclinD,positive,BL,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
13,GSK3B,CyclinD,negative,BL,direct,1,regulates,"phosphorylation. GSK3B directly phosphorylates Cyclin D1 at Thr286, promoting its nuclear export and degradation."
14,RPS6,CyclinD,positive,BL,indirect,2,,causal effect with unknown mediator(s). There is experimental evidence that the phosphorylation state/function of ribosomal protein S6 (RPS6) affects Cyclin D1 abundance.
15,EGFR,EGFR,positive,BL,direct,1,regulates,phosphorylation. EGFR homodimers phosphorylate each other
16,erlotinib,EGFR,negative,BL,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of EGFR.
17,pertuzumab,EGFR,negative,BL,indirect,2,,causal effect. pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization. This is an indirect effect on EGFR.
18,stimulus,EGFR,positive,BL,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to EGFR activation.
19,HER2,HER2,positive,BL,direct,1,regulates,protein-protein interaction. Homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
20,erlotinib,HER2,negative,BL,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of HER2
21,pertuzumab,HER2,negative,BL,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
22,stimulus,HER2,positive,BL,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium activate receptors that recruit HER2 into active heterodimers
23,trastuzumab,HER2,negative,BL,direct,1,regulates,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
24,HER3,HER3,positive,BL,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
25,PTEN,HER3,negative,BL,indirect,2,,causal effect; PTEN loss increased HER3 phosphorylation and enhanced HER3-dependent PI3K signaling. Likely mediated by AKT and FOXO3.
26,RPS6,HER3,positive,BL,unsupported,-,,This proteomics-inferred edge is contradicted by the known negative mTORC1-to-HER3 feedback effect.
27,erlotinib,HER3,negative,BL,indirect,2,,causal effect mediated by HER2 or another kinase
28,pertuzumab,HER3,negative,BL,replaced,,,"Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
29,stimulus,HER3,positive,BL,correlation,3,,This proteomics- inferred edge is consistent with evidence that growth factors in a growth medium lead to HER3 activation
30,ERK,ERK,positive,BL,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
31,RAF1,ERK,positive,BL,indirect,2,,causal effect mediated by MEK
32,AKT,FOXO1FOXO3,negative,BL,replaced,,,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges. This edge is replaced by the AKT-| FOXO1 and AKT-| FOXO3 edges."
33,FOXO1FOXO3,FOXO1FOXO3,positive,BL,unsupported,-,,"This assumed self-activation is contradicted by the fact that neither FOXO1 nor FOXO3 has functional self regulation, and they participate in a negative feedback loop with HER3/IGFR1, PI3K, and AKT."
34,CyclinD,GSK3B,positive,BL,unsupported,-,,This proteomics-inferred edge is contradicted by the fact that proliferative signaling tends to produce an anti-correlation of Cyclin D and GSK3B.
35,GSK3B,GSK3B,positive,BL,direct,1,regulates,"phosphorylation. GSK3β autophosphorylates at Tyr216, and Tyr216 phosphorylation is associated with the active form of GSK3β."
36,p53,GSK3B,positive,BL,direct,1,regulates,protein-protein interaction. p53 binds GSK3B and increases its kinase activity.
37,AKT,PRAS40,negative,BL,direct,1,regulates,phosphorylation. AKT phosphorylates PRAS40 (AKT1S1). This promotes PRAS40 association with 14-3-3 and reduces its association/inhibitory action on mTORC1.
38,PRAS40,PRAS40,positive,BL,indirect,2,,PRAS40 participates in mutual inhibition with mTORC1.
39,GSK3B,PTEN,negative,BL,direct,1,regulates,"phosphorylation. GSK3B phosphorylates PTEN, yielding reduced PTEN stability / enhanced PTEN degradation."
40,PTEN,PTEN,positive,BL,indirect,2,,"PTEN promotes its own stability via a positive feedback loop mediated by AKT, FOXO, USP11."
41,CyclinD,RB,negative,BL,indirect,2,,causal effect mediated by CYCLINDc
42,NFKB,RB,positive,BL,unsupported,-,,This proteomics-inferred edge is inconsistent with an established indirect negative effect mediated by CYCLINDc.
