Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
APC,CD28,positive,"AJ, N10",1,regulates,direct,KEPT
APC,TCR,positive,"AJ, N10",1,necessary,direct,KEPT
BCL6,GATA3,negative,"AJ, MS15",1,regulates,direct,KEPT
BCL6,IFNG,negative,MS15,1,regulates,direct,KEPT
BCL6,IFNG_2,negative,MS15,1,regulates,direct,KEPT
BCL6,IL21,positive,MS15,1,regulates,direct in the network sense,KEPT
BCL6,RORGT,negative,"AJ, MS15",2,,indirect,TAKEN_OUT
BCL6,TBET,negative,"AJ, MS15",1,regulates,direct,KEPT
BCL6,TBET_2,negative,"AJ, MS15",1,regulates,direct,KEPT
CD28,NFAT,positive,"AJ, N10",1,regulates,direct in the network sense,KEPT
CD4,CD4,positive,MSM,4,,assumption,TAKEN_OUT
CD4,RUNX3,negative,MSM,3,,correlation,TAKEN_OUT
CD4,THPOK,positive,MSM,2,,indirect,KEPT
CD8,CD8,positive,MSM,4,,assumption,TAKEN_OUT
CD8,RUNX3,positive,MSM,2,,indirect,KEPT
CD8,THPOK,negative,MSM,3,,correlation,TAKEN_OUT
CMAF,IL10,positive,AJ,1,regulates,direct,KEPT
CMAF,IL13,positive,AJ,2,,indirect,TAKEN_OUT
CMAF,IL21,positive,AJ,1,regulates,direct,KEPT
CMAF,IL22,negative,AJ,1,regulates,direct,KEPT
CMAF,IL4,positive,AJ,1,regulates,direct,KEPT
CMAF,IL5,positive,AJ,2,,indirect,TAKEN_OUT
DLL1,NOTCH1,positive,MSM,1,regulates,direct,KEPT
EOMES,GZMB,positive,MSM,1,regulates,direct,KEPT
EOMES,IFNG,positive,MSM,1,regulates,direct,KEPT
EOMES,IFNG_2,positive,MSM,1,regulates,direct,KEPT
EOMES,PRF1,positive,MSM,1,regulates,direct,KEPT
FOXP3,FOXP3,positive,"AJ, MS15, MSM, N10",2,,indirect,TAKEN_OUT
FOXP3,GATA3,negative,"MSM, P18",1,regulates,direct,KEPT
FOXP3,IFNG,negative,"AJ, N10",2,,indirect,TAKEN_OUT
FOXP3,IFNG_2,negative,"AJ, N10",2,,indirect,TAKEN_OUT
FOXP3,IL13,negative,AJ,2,,indirect,TAKEN_OUT
FOXP3,IL17,negative,"AJ, N10",2,,indirect,TAKEN_OUT
FOXP3,IL2,negative,"AJ, MS15, N10",1,regulates,direct,KEPT
FOXP3,IL2RA,positive,"AJ, N10",1,regulates,direct,KEPT
FOXP3,IL35,positive,AJ,2,,indirect,KEPT
FOXP3,IL4,negative,"AJ, N10",2,,indirect,TAKEN_OUT
FOXP3,IL5,negative,AJ,2,,indirect,TAKEN_OUT
FOXP3,NFAT,negative,P18,1,regulates,direct,KEPT
FOXP3,NFKB,negative,"AJ, N10, P18",1,regulates,direct,KEPT
FOXP3,RORGT,negative,"AJ, MS15, MSM, P18",1,regulates,direct,KEPT
FOXP3,TBET,negative,"MSM, P18",4,,assumption,TAKEN_OUT
FOXP3,TBET_2,negative,"MSM, P18",4,,assumption,TAKEN_OUT
FOXP3,TGFB,positive,"AJ, MS15, MSM, N10",3,,correlation,KEPT
FOXP3,THPOK,positive,MSM,4,,assumption,TAKEN_OUT
GATA3,FOXP3,negative,"MSM, P18",2,,indirect,TAKEN_OUT
GATA3,GATA3,positive,"AJ, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
GATA3,IFNG,negative,MS15,1,regulates,direct,KEPT
GATA3,IFNG_2,negative,MS15,1,regulates,direct,KEPT
GATA3,IL10,positive,"AJ, MS15, MSM, MX, N10",2,,indirect,TAKEN_OUT
GATA3,IL12R,negative,P18,2,,indirect,TAKEN_OUT
GATA3,IL13,positive,AJ,1,regulates,direct,KEPT
GATA3,IL25,positive,AJ,4,,assumption,KEPT
GATA3,IL3,positive,AJ,1,regulates,direct,KEPT
GATA3,IL4,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
GATA3,IL5,positive,AJ,1,regulates,direct,KEPT
GATA3,RORGT,negative,"MS15, MSM, P18",1,regulates,direct in the network sense,KEPT
GATA3,ST2,positive,AJ,1,regulates,direct,KEPT
GATA3,STAT4,negative,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
GATA3,TBET,negative,"M06, MS15, MSM, MX, N10",1,regulates,direct,KEPT
GATA3,TBET_2,negative,"M06, MS15, MSM, MX, N10",1,regulates,direct,KEPT
GATA3,THPOK,positive,MSM,1,regulates,direct,KEPT
IFNAR,STAT1,positive,AJ,1,regulates,direct,KEPT
IFNAR,STAT1_2,positive,AJ,1,regulates,direct,KEPT
IFNA_e,IFNAR,positive,AJ,1,regulates,direct,KEPT
IFNBR,STAT1,positive,"M06, MSM, MX, N10",1,regulates,direct,KEPT
IFNBR,STAT1_2,positive,"MSM, MX, N10",1,regulates,direct,KEPT
IFNB_e,IFNAR,positive,AJ,1,regulates,direct,KEPT
IFNB_e,IFNBR,positive,"M06, MSM, MX, N10",1,regulates,direct,KEPT
IFNG,GATA3,negative,MS15,2,,indirect,TAKEN_OUT
IFNG,IFNG,positive,"M06, MS15",2,,indirect,TAKEN_OUT
IFNG,IFNGR,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IFNG,IFNGR_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IFNG,IFNG_2,positive,"M06, MS15",0,necessary,,KEPT
IFNG,IL10,positive,MS15,2,,indirect,TAKEN_OUT
IFNG,IL2,negative,MS15,2,,indirect,TAKEN_OUT
IFNG,IL21,negative,MS15,2,,indirect,TAKEN_OUT
IFNG,IL4,negative,MS15,2,,indirect,TAKEN_OUT
IFNG,IL9,negative,MS15,2,,indirect,TAKEN_OUT
IFNG,STAT6,negative,P18,2,,indirect,TAKEN_OUT
IFNG,TBET,positive,MS15,2,,indirect,TAKEN_OUT
IFNG,TBET_2,positive,MS15,2,,indirect,TAKEN_OUT
IFNGR,IFNGR,positive,M06,2,,indirect,TAKEN_OUT
IFNGR,IFNGR_2,positive,M06,0,necessary,,KEPT
IFNGR,JAK1,positive,"MSM, MX, P18",1,regulates,direct,KEPT
IFNGR,STAT1,positive,"AJ, M06, N10",1,regulates,direct,KEPT
IFNGR,STAT1_2,positive,"AJ, M06, N10",1,regulates,direct,KEPT
IFNGR_2,JAK1,positive,"MSM, MX, P18",1,regulates,direct,KEPT
IFNGR_2,STAT1,positive,"AJ, N10",1,regulates,direct,KEPT
IFNGR_2,STAT1_2,positive,"AJ, M06, N10",1,regulates,direct,KEPT
IFNG_2,GATA3,negative,MS15,2,,indirect,TAKEN_OUT
IFNG_2,IFNGR,positive,"AJ, MSM, MX, N10, P18",1,regulates,direct,KEPT
IFNG_2,IFNGR_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IFNG_2,IFNG_2,positive,MS15,2,,indirect,TAKEN_OUT
IFNG_2,IL10,positive,MS15,2,,indirect,TAKEN_OUT
IFNG_2,IL2,negative,MS15,2,,indirect,TAKEN_OUT
IFNG_2,IL21,negative,MS15,2,,indirect,TAKEN_OUT
IFNG_2,IL4,negative,MS15,2,,indirect,TAKEN_OUT
IFNG_2,IL9,negative,MS15,2,,indirect,TAKEN_OUT
IFNG_2,STAT6,negative,P18,2,,indirect,TAKEN_OUT
IFNG_2,TBET,positive,MS15,2,,indirect,TAKEN_OUT
IFNG_2,TBET_2,positive,MS15,2,,indirect,TAKEN_OUT
IFNG_e,IFNG,positive,MS15,2,,indirect,TAKEN_OUT
IFNG_e,IFNGR,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IFNG_e,IFNGR_2,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IFNG_e,IFNG_2,positive,MS15,2,,indirect,TAKEN_OUT
IKB,NFKB,negative,"AJ, N10",1,regulates,direct,KEPT
IL10,IFNG,negative,MS15,2,,indirect,TAKEN_OUT
IL10,IFNG_2,negative,MS15,2,,indirect,TAKEN_OUT
IL10,IL10,positive,MS15,2,,indirect,TAKEN_OUT
IL10,IL10R,positive,"AJ, MSM, MX, N10",1,regulates,direct,KEPT
IL10,IL2,negative,MS15,2,,indirect,TAKEN_OUT
IL10,IL9,positive,MS15,3,,correlation,TAKEN_OUT
IL10R,STAT3,positive,"MSM, MX, N10",1,regulates,direct,KEPT
IL10_e,IL10,positive,MS15,2,,indirect,TAKEN_OUT
IL10_e,IL10R,positive,"AJ, N10",1,regulates,direct,KEPT
IL12R,STAT4,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IL12RB1_2,IL12R,positive,N10,0,regulates,direct,KEPT
IL12RB2,IL12R,positive,"AJ, N10",0,necessary,direct,KEPT
IL12_e,IL12R,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IL12_e,IL18R,positive,P18,2,,indirect,TAKEN_OUT
IL12_e,STAT4,positive,P18,2,,indirect,TAKEN_OUT
IL15R,STAT5,positive,"AJ, N10",1,regulates,direct,KEPT
IL15_e,IL15R,positive,"AJ, N10",1,regulates,direct,KEPT
IL18R,IFNG,positive,AJ,2,,indirect,KEPT
IL18R,IFNG_2,positive,AJ,2,,indirect,KEPT
IL18R,IRAK,positive,"M06, MSM, MX, P18",1,regulates,direct in the network sense,KEPT
IL18_e,IL18R,positive,"AJ, M06, MSM, MX, P18",1,regulates,direct,KEPT
IL1R,STAT3,positive,AJ,2,,indirect,KEPT
IL1R1,IL1R,positive,AJ,0,necessary,direct,KEPT
IL1_e,IL1R,positive,AJ,1,regulates,direct,KEPT
IL2,BCL6,negative,MS15,2,,indirect,TAKEN_OUT
IL2,FOXP3,positive,MS15,2,,indirect,TAKEN_OUT
IL2,GATA3,positive,MS15,2,,indirect,TAKEN_OUT
IL2,IL2,positive,MS15,2,,indirect,TAKEN_OUT
IL2,IL21,negative,MS15,2,,indirect,TAKEN_OUT
IL2,IL2R,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL2,IL2R_2,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL2,IL4,positive,MS15,2,,indirect,TAKEN_OUT
IL2,IL9,positive,MS15,2,,indirect,TAKEN_OUT
IL21,BCL6,positive,MS15,2,,indirect,TAKEN_OUT
IL21,FOXP3,negative,MS15,2,,indirect,TAKEN_OUT
IL21,GATA3,negative,MS15,3,,correlation,TAKEN_OUT
IL21,IFNG,negative,MS15,3,,correlation,TAKEN_OUT
IL21,IFNG_2,negative,MS15,3,,correlation,TAKEN_OUT
IL21,IL10,positive,MS15,2,,indirect,TAKEN_OUT
IL21,IL2,negative,MS15,2,,indirect,TAKEN_OUT
IL21,IL21,positive,MS15,2,,indirect,TAKEN_OUT
IL21,IL21R,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL21,IL9,negative,MS15,3,,correlation,TAKEN_OUT
IL21,RORGT,positive,MS15,2,,indirect,TAKEN_OUT
IL21R,FOXP3,negative,P18,2,,indirect,TAKEN_OUT
IL21R,RORGT,positive,P18,2,,indirect,TAKEN_OUT
IL21R,STAT3,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL21_e,IL21,positive,MS15,2,,indirect,TAKEN_OUT
IL21_e,IL21R,positive,"AJ, N10",1,regulates,direct,KEPT
IL23,IL23R,positive,N10,1,regulates,direct,KEPT
IL23R,IL17,positive,P18,2,,indirect,TAKEN_OUT
IL23R,STAT3,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
IL23_e,IL23R,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
IL25,IL25R,positive,AJ,1,regulates,direct,KEPT
IL25R,GATA3,positive,AJ,2,,indirect,KEPT
IL25_e,IL25R,positive,AJ,1,regulates,direct,KEPT
IL27R,EOMES,positive,MSM,2,,indirect,TAKEN_OUT
IL27R,STAT1,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
IL27R,STAT1_2,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
IL27R,STAT3,positive,"AJ, N10",1,regulates,direct,KEPT
IL27_e,IL27R,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
IL27_e,STAT1,positive,P18,2,,indirect,TAKEN_OUT
IL27_e,STAT1_2,positive,P18,2,,indirect,TAKEN_OUT
IL29R,GATA3,negative,AJ,2,,indirect,KEPT
IL29_e,IL29R,positive,AJ,1,regulates,direct,KEPT
IL2R,IL2R_2,positive,"AJ, N10",0,necessary,,KEPT
IL2R,STAT5,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
IL2R,STAT5_2,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
IL2RA,IL2R_2,positive,"AJ, N10",0,necessary,direct,KEPT
IL2R_2,STAT5,positive,"MSM, P18",1,regulates,direct,KEPT
IL2R_2,STAT5_2,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
IL2_e,IL2,positive,MS15,2,,indirect,TAKEN_OUT
IL2_e,IL2R,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
IL2_e,IL2R_2,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
IL33R,IL13,positive,AJ,2,,indirect,KEPT
IL33R,IL5,positive,AJ,2,,indirect,KEPT
IL33R,IL9,positive,AJ,2,,indirect,KEPT
IL33_e,IL33R,positive,AJ,1,regulates,direct,KEPT
IL36R,TBET,positive,AJ,2,,indirect,KEPT
IL36R,TBET_2,positive,AJ,2,,indirect,KEPT
IL36_e,IL36R,positive,AJ,1,regulates,direct,KEPT
IL4,GATA3,positive,MS15,2,,indirect,TAKEN_OUT
IL4,IFNG,negative,MS15,2,,indirect,TAKEN_OUT
IL4,IFNG_2,negative,MS15,2,,indirect,TAKEN_OUT
IL4,IL4,positive,MS15,2,,indirect,TAKEN_OUT
IL4,IL4R,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IL4,IL4R_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
