Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,Notes
BCL6,IFNG_2,negative,MS15,1,regulates,direct,"Duplicated from original edge (BCL6 -> IFNG, Model=MS15). Original note: TBET recruits BCL6 to the Ifng locus, where it represses transcription."
BCL6,TBET_2,negative,AJ,1,regulates,direct,"Duplicated from original edge (BCL6 -> TBET, Model=AJ). Original note: BCL6 is a sequence-specific transcriptional repressor. It binds the Tbx21 promoter (or regulatory regions of the Tbx21 gene) and represses its transcription."
BCL6,TBET_2,negative,MS15,1,regulates,direct,"Duplicated from original edge (BCL6 -> TBET, Model=MS15). Original note: BCL6 is a sequence-specific transcriptional repressor. It binds the Tbx21 promoter (or regulatory regions of the Tbx21 gene) and represses its transcription."
EOMES,IFNG_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (EOMES -> IFNG, Model=MSM). Original note: EOMES directly binds regulatory elements of the Ifng locus and activates IFN-γ transcription."
FOXP3,IFNG_2,negative,AJ,2,,indirect,"Duplicated from original edge (FOXP3 -> IFNG, Model=AJ). Original note: Causal effect mediated by multiple mechanisms, including FOXP3 inhibiting NFAT and NFKB"
FOXP3,IFNG_2,negative,N10,2,,indirect,"Duplicated from original edge (FOXP3 -> IFNG, Model=N10). Original note: Causal effect mediated by multiple mechanisms, including FOXP3 inhibiting NFAT and NFKB"
FOXP3,TBET_2,negative,MSM,4,,assumption,"Duplicated from original edge (FOXP3 -> TBET, Model=MSM). Original note: assumption, to account for FOXP3's effect on IFNG"
FOXP3,TBET_2,negative,P18,4,,assumption,"Duplicated from original edge (FOXP3 -> TBET, Model=P18). Original note: assumption, to account for FOXP3's effect on IFNG"
GATA3,IFNG_2,negative,MS15,1,regulates,direct,"Duplicated from original edge (GATA3 -> IFNG, Model=MS15). Original note: GATA3 binds multiple regulatory elements within the Ifng locus, and induces repressive chromatin remodeling of the Ifng locus. There also are strong indirect effects."
GATA3,TBET_2,negative,MS15,1,regulates,direct,"Duplicated from original edge (GATA3 -> TBET, Model=MS15). Original note: regulation of transcription. GATA3 binds the Tbx21 regulatory region and recruits chromatin-remodeling/repressive complexes."
GATA3,TBET_2,negative,MSM,1,regulates,direct,"Duplicated from original edge (GATA3 -> TBET, Model=MSM). Original note: regulation of transcription. GATA3 binds the Tbx21 regulatory region and recruits chromatin-remodeling/repressive complexes."
GATA3,TBET_2,negative,MX,1,regulates,direct,"Duplicated from original edge (GATA3 -> TBET, Model=MX). Original note: regulation of transcription. GATA3 binds the Tbx21 regulatory region and recruits chromatin-remodeling/repressive complexes."
GATA3,TBET_2,negative,N10,1,regulates,direct,"Duplicated from original edge (GATA3 -> TBET, Model=N10). Original note: regulation of transcription. GATA3 binds the Tbx21 regulatory region and recruits chromatin-remodeling/repressive complexes."
IFNAR,STAT1_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNAR -> STAT1, Model=AJ). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNAR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IFNBR,STAT1_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IFNBR -> STAT1, Model=MSM). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNBR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IFNBR,STAT1_2,positive,MX,1,regulates,direct,"Duplicated from original edge (IFNBR -> STAT1, Model=MX). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNBR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IFNBR,STAT1_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNBR -> STAT1, Model=N10). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNBR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IFNG_2,GATA3,negative,MS15,2,,indirect,"Duplicated from original edge (IFNG -> GATA3, Model=MS15). Original note: causal effect, mediated by IFNGR, STAT1, TBET"
IFNG,IFNG_2,positive,MS15,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
IFNG_2,IFNG,positive,MS15,-,,wrong,High-level should not activate low-level.
IFNG_2,IFNG_2,positive,MS15,2,,indirect,"Duplicated from original edge (IFNG -> IFNG, Model=MS15). Original note: feedback loop, IFNG->IFNGR->STAT1->TBET->IFNG"
IFNG,IFNGR_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=AJ). Original note: ligand-receptor binding"
IFNG_2,IFNGR,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=AJ). Original note: ligand-receptor binding"
IFNG_2,IFNGR_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=AJ). Original note: ligand-receptor binding"
IFNG,IFNGR_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=MSM). Original note: ligand-receptor binding"
IFNG_2,IFNGR,positive,MSM,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=MSM). Original note: ligand-receptor binding"
