Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,is_kept
ABL1,JAK2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ABL1,MYOD1,negative,"MCF7, TGEN",assumption,4,,TAKEN_OUT
ABL1,SRC,positive,"MCF7, TGEN",assumption,4,,KEPT
ABL2,CEBPB,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,AKT,positive,"BL, BS, HL, HS, SL, SS",indirect,2,,TAKEN_OUT
AKT,BAD,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
AKT,CASP9,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,CREB1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,CyclinD,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
AKT,CyclinD_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
AKT,ESR1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,ESR1_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
AKT,FAS,negative,"MCF7, T47D, TGEN",assumption,4,,TAKEN_OUT
AKT,FOXO1,negative,"BL, HL, MCF7, SL, T47D, TGEN",direct,1,regulates,KEPT
AKT,FOXO3,negative,"BL, HL, MCF7, SL, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
AKT,GSK3B,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,HER3,negative,SL,indirect,2,,TAKEN_OUT
AKT,HER3_2,negative,SL,indirect,2,,TAKEN_OUT
AKT,KMT2D,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
AKT,MDM2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,NOS3,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,PRAS40,negative,"BL, HL, SL, Z17, Z21",direct,1,regulates,KEPT
AKT,PRKACA,positive,"MCF7, T47D, TGEN",assumption,4,,KEPT
AKT,RAC1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,S6K,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
AKT,TSC2,negative,"BL, HL, MCF7, SL, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
AKT,TWIST1,positive,"MCF7, TGEN",direct,1,regulates,KEPT
AKT,mTORC1,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
AKT,p21,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
AKT,p21_p27,negative,"Z17, Z21",direct,1,regulates,KEPT
AKT,p38,positive,"BL, HL, SL",correlation,3,,KEPT
APC,DC,positive,"MCF7, T47D, TGEN",,0,necessary,KEPT
AXIN1,APC,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
Alpelisib,PI3K,negative,"Z17, Z21",direct,1,regulates,KEPT
Alpelisib,PI3K_2,negative,"Z17, Z21",direct,1,,KEPT
Apoptosis,Apoptosis,positive,"Z17, Z21",assumption,4,,KEPT
Apoptosis_2,Apoptosis_2,positive,"Z17, Z21",assumption,4,,KEPT
Apoptosis_3,Apoptosis_3,positive,"Z17, Z21",assumption,4,,KEPT
BAD,Apoptosis,positive,"Z17, Z21",indirect,2,,KEPT
BAD,Apoptosis_2,positive,Z17,indirect,2,,KEPT
BAD,Apoptosis_3,positive,Z17,indirect,2,,KEPT
BAD,BCL2,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BAD,BCLXL,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BAK1,CYCS,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
BAX,BAX,positive,SL,direct,1,regulates,KEPT
BAX,CYCS,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
BCL2,Apoptosis,negative,Z17,indirect,2,,KEPT
BCL2,Apoptosis_2,negative,"Z17, Z21",indirect,2,,KEPT
BCL2,Apoptosis_3,negative,"Z17, Z21",indirect,2,,KEPT
BCL2,BIM,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BCL2_T,BCL2,positive,"Z17, Z21",direct,1,necessary,KEPT
BCLXL,Apoptosis_2,negative,Z21,indirect,2,,KEPT
BCLXL,Apoptosis_3,negative,Z21,indirect,2,,KEPT
BCLXL,BIM,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BCLXL,CASP9,negative,"MCF7, TGEN",indirect,2,,TAKEN_OUT
BCLXL_T,BCLXL,positive,Z21,direct,1,necessary,KEPT
BID,BAK1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BID,BAX,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BIM,Apoptosis,positive,"Z17, Z21",indirect,2,,KEPT
BIM,Apoptosis_2,positive,Z17,indirect,2,,KEPT
BIM,Apoptosis_3,positive,"Z17, Z21",indirect,2,,KEPT
BIM,BAK1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BIM,BAX,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BIM,BCL2,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BIM,BCLXL,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
BIM_T,BIM,positive,"Z17, Z21",direct,1,regulates,KEPT
CASP3,CASP9,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
CASP8,BID,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CASP8,CASP3,positive,T47D,direct,1,regulates,KEPT
CASP8,CASP9,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
CASP9,CASP3,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CDK46,CYCLINDc,positive,"Z17, Z21",,0,necessary,KEPT
CDK46,CYCLINDc_2,positive,"Z17, Z21",,0,,KEPT
CDKN2A,CYCLINDc,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CDKN2A,CYCLINDc_2,negative,"MCF7, T47D, TGEN",direct,1,,KEPT
CEBPB,PPARG,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CREB1,BCL2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CREB1,BCLXL,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CREB1,CEBPB,positive,"MCF7, TGEN",direct,1,regulates,KEPT
CREB1,FZD,positive,"MCF7, TGEN",assumption,4,,KEPT
CTNNB1,MYC,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CTNNB1,MYC_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
CTNNB1,NOTCH1,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
CTNNB1,TCF7L2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
CYCLINDc,CYCLINDc_2,positive,"Z17, Z21",,0,necessary,KEPT
CYCLINDc,RB,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
CYCLINDc,pRB,positive,"Z17, Z21",direct,1,regulates,KEPT
CYCLINDc,pRB_2,positive,"Z17, Z21",direct,1,,KEPT
CYCLINDc,pRB_3,positive,Z21,direct,1,,KEPT
CYCLINDc_2,RB,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
CYCLINDc_2,pRB,positive,"Z17, Z21",direct,1,,KEPT
CYCLINDc_2,pRB_2,positive,"Z17, Z21",direct,1,,KEPT
CYCLINDc_2,pRB_3,positive,"Z17, Z21",direct,1,,KEPT
CYCS,CASP9,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
CyclinB1,AKT,positive,HL,indirect,2,,KEPT
CyclinD,CYCLINDc,positive,"Z17, Z21",,0,necessary,KEPT
CyclinD,CyclinD_2,positive,"BL, HL, SL, Z17, Z21",,0,necessary,KEPT
CyclinD,RB,negative,"BL, SL",indirect,2,,TAKEN_OUT
CyclinD_2,CYCLINDc,positive,"Z17, Z21",,0,,KEPT
CyclinD_2,CYCLINDc_2,positive,"Z17, Z21",,0,,KEPT
CyclinD_2,RB,negative,"BL, SL",indirect,2,,TAKEN_OUT
DC,CTNNB1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
DLL,NOTCH1,positive,"MCF7, T47D, TGEN",direct,1,necessary,KEPT
DVL1,AXIN1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
DVL1,RAC1,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
E2F,E2F_2,positive,"Z17, Z21",,0,necessary,KEPT
E2F,Proliferation,positive,"Z17, Z21",indirect,2,,KEPT
E2F,Proliferation_3,positive,Z21,indirect,2,,KEPT
E2F,Proliferation_4,positive,Z21,indirect,2,,KEPT
E2F,cycE_CDK2_T,positive,"Z17, Z21",direct,1,necessary,KEPT
E2F_2,E2F_3,positive,Z17,,0,necessary,KEPT
E2F_2,Proliferation,positive,Z17,indirect,2,,KEPT
E2F_2,Proliferation_2,positive,"Z17, Z21",indirect,2,,KEPT
