Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
AKT,AKT,positive,BL,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
EGFR,AKT,positive,BL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER2,AKT,positive,BL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,BL,positive,indirect,2,,"causal effect mediated by PI3K, others"
PTEN,AKT,negative,BL,negative ,indirect,2,,mediated by PIP3
CyclinB1,CyclinB1,positive,BL,,,,,
EGFR,CyclinB1,positive,BL,,,,,
HER3,CyclinB1,positive,BL,,,,,
p53,CyclinB1,negative,BL,,,,,
AKT,CyclinD,positive,BL,positive,indirect,2,,causal effect mediated by GSK3B
CyclinD,CyclinD,positive,BL,positive,unsupported,,,This inferred self-regulation is not supported by experimental evidence.
ERK,CyclinD,positive,BL,positive,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
GSK3B,CyclinD,negative,BL,negative,direct,1,regulates,"GSK3B directly phosphorylates Cyclin D1 at Thr286, promoting its nuclear export and degradation."
RPS6,CyclinD,positive,BL,,,,,
EGFR,EGFR,positive,BL,,,,,
erlotinib,EGFR,negative,BL,,,,,
pertuzumab,EGFR,negative,BL,negative,indirect,2,,pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization. This is an indirect effect on EGFR.
stimulus,EGFR,positive,BL,positive,correlation,3,,this inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
HER2,HER2,positive,BL,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
erlotinib,HER2,negative,BL,,,,,
pertuzumab,HER2,negative,BL,negative ,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
stimulus,HER2,positive,BL,positive,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
trastuzumab,HER2,negative,BL,,,,,This assumed effect between the two process nodes was replaced by a refined assumption in the Z21 model.
HER3,HER3,positive,BL,,,,,
PTEN,HER3,negative,BL,,,,,
RPS6,HER3,positive,BL,,,,,
erlotinib,HER3,negative,BL,,,,,
pertuzumab,HER3,negative,BL,negative ,unsupported,,,"pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node."
stimulus,HER3,positive,BL,positive,correlation,3,,This proteomics- inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
ERK,ERK,positive,BL,,,,,
RAF1,ERK,positive,BL,,,,,
AKT,FOXO1FOXO3,negative,BL,negative ,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
FOXO1FOXO3,FOXO1FOXO3,positive,BL,positive,unsupported,,,This inferred self-regulation is not supported by evidence;  neither FOXO1 nor FOXO3 has functional self regulation.
CyclinD,GSK3B,positive,BL,,,,,
GSK3B,GSK3B,positive,BL,,,,,
p53,GSK3B,positive,BL,,,,,
AKT,PRAS40,negative,BL,,,,,
PRAS40,PRAS40,positive,BL,,,,,
GSK3B,PTEN,negative,BL,,,,,
PTEN,PTEN,positive,BL,,,,,
CyclinD,RB,negative,BL,,,,,
NFKB,RB,positive,BL,,,,,
RB,RB,positive,BL,,,,,
RPS6,RPS6,positive,BL,,,,,
S6K,RPS6,positive,BL,,,,,
AKT,TSC2,negative,BL,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
ERK,TSC2,negative,BL,,,,,
GSK3B,TSC2,negative,BL,,,,,
TSC2,TSC2,positive,BL,,,,,
GSK3B,JUN,negative,BL,,,,,
JUN,JUN,positive,BL,,,,,
EGFR,RAF1,positive,BL,,,,,
HER2,RAF1,positive,BL,positive,indirect,2,,causal effect mediated by adaptor proteins and RAS
ERK,RAF1,negative,BL,,,,,
RAF1,RAF1,positive,BL,,,,,
AKT,p38,positive,BL,positive,correlation,3,,This observed correlation is consistent with crosstalk between the Pi3K/AKT and p38 MAPK pathway.
p38,p38,positive,BL,,,,,
CyclinB1,p53,positive,BL,,,,,
PTEN,p53,positive,BL,,,,,
RB,p53,positive,BL,,,,,
p38,p53,positive,BL,,,,,
p53,p53,positive,BL,,,,,
stimulus,p53,positive,BL,positive,unsupported,,,This proteomics-inferred edge is not supported by evidence.
ERK,S6K,positive,BL,,,,,
NFKB,S6K,negative,BL,,,,,
PRAS40,S6K,negative,BL,,,,,
TSC2,S6K,negative,BL,negative ,indirect,2,,"causal effect, mediated by RHEB and mTORC1"
S6K,S6K,positive,BL,,,,,
AKT,AKT,positive,HL,positive,unsupported,,,AKT functional self-regulation is not supported by experimental evidence
CyclinB1,AKT,positive,HL,positive,correlation,3,,this inferred edge is supported by perturbation evidence but the mechanism is not clear
EGFR,AKT,positive,HL,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,AKT,positive,HL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,HL,positive,indirect,2,,"causal effect mediated by PI3K, others"
PTEN,AKT,negative,HL,negative ,indirect,2,,mediated by PIP3
CyclinB1,CyclinB1,positive,HL,,,,,
p53,CyclinB1,negative,HL,,,,,
AKT,CyclinD,positive,HL,positive,indirect,2,,causal effect mediated by GSK3B
CyclinD,CyclinD,positive,HL,positive,unsupported,,,This inferred self-regulation is not supported by experimental evidence.
ERK,CyclinD,positive,HL,positive,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
JUN,CyclinD,positive,HL,,,,,
S6K,CyclinD,positive,HL,,,,,
EGFR,EGFR,positive,HL,,,,,
HER3,EGFR,positive,HL,,,,,
JUN,EGFR,positive,HL,,,,,
erlotinib,EGFR,negative,HL,,,,,
pertuzumab,EGFR,negative,HL,negative ,indirect,2,,pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization
stimulus,EGFR,positive,HL,positive,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
HER2,HER2,positive,HL,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
erlotinib,HER2,negative,HL,,,,,
pertuzumab,HER2,negative,HL,negative,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
stimulus,HER2,positive,HL,positive,correlation,3,,This proteomics-nferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
trastuzumab,HER2,negative,HL,,,,,
HER3,HER3,positive,HL,,,,,
RPS6,HER3,positive,HL,,,,,
erlotinib,HER3,negative,HL,,,,,
pertuzumab,HER3,negative,HL,negative,unsupported,,,"pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node."
stimulus,HER3,positive,HL,positive,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
EGFR,ERK,positive,HL,,,,,
ERK,ERK,positive,HL,,,,,
RAF1,ERK,positive,HL,,,,,
AKT,FOXO1FOXO3,negative,HL,negative ,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
FOXO1FOXO3,FOXO1FOXO3,positive,HL,positive,unsupported,,,This inferred self-regulation is not supported by evidence;  neither FOXO1 nor FOXO3 has functional self regulation.
GSK3B,GSK3B,positive,HL,,,,,
p53,GSK3B,positive,HL,,,,,
AKT,PRAS40,negative,HL,,,,,
PRAS40,PRAS40,positive,HL,,,,,
JUN,PRAS40,positive,HL,,,,,
GSK3B,PTEN,negative,HL,,,,,
PTEN,PTEN,positive,HL,,,,,
RAF1,PTEN,positive,HL,,,,,
CyclinB1,RB,negative,HL,,,,,
RB,RB,positive,HL,,,,,
p53,RB,positive,HL,,,,,
RPS6,RPS6,positive,HL,,,,,
S6K,RPS6,positive,HL,,,,,
AKT,TSC2,negative,HL,negative,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
ERK,TSC2,negative,HL,,,,,
GSK3B,TSC2,negative,HL,,,,,
RB,TSC2,positive,HL,,,,,
TSC2,TSC2,positive,HL,,,,,
GSK3B,JUN,negative,HL,,,,,
JUN,JUN,positive,HL,,,,,
EGFR,RAF1,positive,HL,,,,,
HER2,RAF1,positive,HL,positive,indirect,2,,causal effect mediated by adaptor proteins and RAS
ERK,RAF1,negative,HL,,,,,
RAF1,RAF1,positive,HL,,,,,
AKT,p38,positive,HL,positive,correlation,3,,This observed correlation is consistent with crosstalk between the Pi3K/AKT and p38 MAPK pathway.
p38,p38,positive,HL,,,,,
CyclinB1,p53,positive,HL,,,,,
RB,p53,positive,HL,,,,,
p38,p53,positive,HL,,,,,
p53,p53,positive,HL,,,,,
ERK,S6K,positive,HL,,,,,
PRAS40,S6K,negative,HL,,,,,
TSC2,S6K,negative,HL,negative,indirect,2,,"causal effect, mediated by RHEB and mTORC1"
S6K,S6K,positive,HL,,,,,
AKT,AKT,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
HER3,AKT,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, others"
PDK1_pm,AKT,positive,BS,positive,direct,1,regulates,membrane-associated PDK1 directly phosphorylates AKT
mTORC1,AKT,positive,BS,positive,unsupported,,,"This inferred edge is not supported by evidence; instead, there is a negative feedback effect"
EGF,EGFR,positive,BS,positive,direct,1,regulates,ligand-receptor binding
EGFR,EGFR,positive,BS,positive,direct,1,regulates,EGFR homodimers phosphorylate each other
PLCg,EGFR,positive,BS,positive,unsupported,,,"not supported by evidence, there is an indirect negative effect instead"
erlotinib,EGFR,negative,BS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of EGFR
pertuzumab,EGFR,negative,BS,negative,indirect,2,,pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization. This is an indirect effect on EGFR.
EGF,HER2,positive,BS,positive,indirect,2,,causal effect mediated by EGFR heterodimerization with HER2
