index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
1668,HER3_2,AKT,positive,BL,indirect,2,,"Duplicated from original edge (HER3 -> AKT, Model=BL). Original note: causal effect mediated by PI3K, others"
1669,PTEN_2,AKT,negative,BL,indirect,2,,"Duplicated from original edge (PTEN -> AKT, Model=BL). Original note: causal effect mediated by PIP3"
1670,HER3_2,CyclinB1,positive,BL,indirect,2,,"Duplicated from original edge (HER3 -> CyclinB1, Model=BL). Original note: causal effect mediated by PI3K, AKT, MEK"
1671,AKT,CyclinD_2,positive,BL,indirect,2,,"Duplicated from original edge (AKT -> CyclinD, Model=BL). Original note: causal effect mediated by GSK3B"
1672,CyclinD,CyclinD_2,positive,BL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1673,CyclinD_2,CyclinD,positive,BL,unsupported,-,,High-level should not activate low-level.
1674,CyclinD_2,CyclinD_2,positive,BL,unsupported,-,,This inferred self-regulation is not supported by experimental evidence of self-regulation or a positive feedback loop.
1675,ERK,CyclinD_2,positive,BL,indirect,2,,"Duplicated from original edge (ERK -> CyclinD, Model=BL). Original note: causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription."
1676,ERK_2,CyclinD,positive,BL,indirect,2,,"Duplicated from original edge (ERK -> CyclinD, Model=BL). Original note: causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription."
1677,ERK_2,CyclinD_2,positive,BL,indirect,2,,"Duplicated from original edge (ERK -> CyclinD, Model=BL). Original note: causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription."
1678,GSK3B,CyclinD_2,negative,BL,direct,1,,"Duplicated from original edge (GSK3B -> CyclinD, Model=BL). Original note: phosphorylation. GSK3B directly phosphorylates Cyclin D1 at Thr286, promoting its nuclear export and degradation."
1679,RPS6,CyclinD_2,positive,BL,indirect,2,,"Duplicated from original edge (RPS6 -> CyclinD, Model=BL). Original note: causal effect with unknown mediator(s). There is experimental evidence that the phosphorylation state/function of ribosomal protein S6 (RPS6) affects Cyclin D1 abundance."
1680,HER3,HER3_2,positive,BL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1681,HER3_2,HER3,positive,BL,unsupported,-,,High-level should not activate low-level.
1682,HER3_2,HER3_2,positive,BL,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
1683,PTEN,HER3_2,negative,BL,indirect,2,,"Duplicated from original edge (PTEN -> HER3, Model=BL). Original note: causal effect; PTEN loss increased HER3 phosphorylation and enhanced HER3-dependent PI3K signaling. Likely mediated by AKT and FOXO3."
1684,PTEN_2,HER3,negative,BL,indirect,2,,"Duplicated from original edge (PTEN -> HER3, Model=BL). Original note: causal effect; PTEN loss increased HER3 phosphorylation and enhanced HER3-dependent PI3K signaling. Likely mediated by AKT and FOXO3."
1685,PTEN_2,HER3_2,negative,BL,indirect,2,,"Duplicated from original edge (PTEN -> HER3, Model=BL). Original note: causal effect; PTEN loss increased HER3 phosphorylation and enhanced HER3-dependent PI3K signaling. Likely mediated by AKT and FOXO3."
1686,RPS6,HER3_2,positive,BL,unsupported,-,,"Duplicated from original edge (RPS6 -> HER3, Model=BL). Original note: This proteomics-inferred edge is contradicted by the known negative mTORC1-to-HER3 feedback effect."
1687,erlotinib,HER3_2,negative,BL,indirect,2,,"Duplicated from original edge (erlotinib -> HER3, Model=BL). Original note: causal effect mediated by HER2 or another kinase"
1688,pertuzumab,HER3_2,negative,BL,replaced,,,"Duplicated from original edge (pertuzumab -> HER3, Model=BL). Original note: Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
1689,stimulus,HER3_2,positive,BL,correlation,3,,"Duplicated from original edge (stimulus -> HER3, Model=BL). Original note: This proteomics- inferred edge is consistent with evidence that growth factors in a growth medium lead to HER3 activation"
1690,ERK,ERK_2,positive,BL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1691,ERK_2,ERK,positive,BL,unsupported,-,,High-level should not activate low-level.
1692,ERK_2,ERK_2,positive,BL,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
1693,RAF1,ERK_2,positive,BL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=BL). Original note: causal effect mediated by MEK"
1694,RAF1_2,ERK,positive,BL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=BL). Original note: causal effect mediated by MEK"
1695,RAF1_2,ERK_2,positive,BL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=BL). Original note: causal effect mediated by MEK"
1696,CyclinD_2,GSK3B,positive,BL,unsupported,-,,"Duplicated from original edge (CyclinD -> GSK3B, Model=BL). Original note: This proteomics-inferred edge is contradicted by the fact that proliferative signaling tends to produce an anti-correlation of Cyclin D and GSK3B."
1697,GSK3B,PTEN_2,negative,BL,direct,1,,"Duplicated from original edge (GSK3B -> PTEN, Model=BL). Original note: phosphorylation. GSK3B phosphorylates PTEN, yielding reduced PTEN stability / enhanced PTEN degradation."
1698,PTEN,PTEN_2,positive,BL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1699,PTEN_2,PTEN,positive,BL,unsupported,-,,High-level should not activate low-level.
1700,PTEN_2,PTEN_2,positive,BL,indirect,2,,"PTEN promotes its own stability via a positive feedback loop mediated by AKT, FOXO, USP11."
1701,CyclinD_2,RB,negative,BL,indirect,2,,"Duplicated from original edge (CyclinD -> RB, Model=BL). Original note: causal effect mediated by CYCLINDc"
1702,ERK_2,TSC2,negative,BL,direct in the network sense,1,,"Duplicated from original edge (ERK -> TSC2, Model=BL). Original note: ERK phosphorylates RSK, which phosphorylates TSC2 at inhibitory sites such as Ser1798. RSK is not in the network."
1703,EGFR,RAF1_2,positive,BL,indirect,2,,"Duplicated from original edge (EGFR -> RAF1, Model=BL). Original note: causal effect mediated by SOS/GRB and RAS"
1704,HER2,RAF1_2,positive,BL,indirect,2,,"Duplicated from original edge (HER2 -> RAF1, Model=BL). Original note: causal effect mediated by adaptor proteins and RAS"
1705,ERK,RAF1_2,negative,BL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=BL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1706,ERK_2,RAF1,negative,BL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=BL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1707,ERK_2,RAF1_2,negative,BL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=BL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1708,RAF1,RAF1_2,positive,BL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1709,RAF1_2,RAF1,positive,BL,unsupported,-,,High-level should not activate low-level.
1710,RAF1_2,RAF1_2,positive,BL,unsupported,-,,This inferred self-activation is contradicted by the strongly supported RAF1 self-limiting circuit via MEK and ERK.
1711,PTEN_2,p53,positive,BL,direct,1,,"Duplicated from original edge (PTEN -> p53, Model=BL). Original note: protein-protein interaction. PTEN can physically bind p53 and stabilize it, increasing p53 half-life and transcriptional activity. PTEN also raises p53 indirectly through PI3K, AKT, MDM2."
1712,ERK_2,S6K,positive,BL,direct,1,,"Duplicated from original edge (ERK -> S6K, Model=BL). Original note: phosphorylation. ERK phosphorylates S6K, contributing to its activation"
1713,pertuzumab,HER2HER3c_2,negative,BL,direct,1,,"Duplicated from original edge (pertuzumab -> HER2HER3c, Model=BL). Original note: Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1714,HER3_2,AKT,positive,BS,indirect,2,,"Duplicated from original edge (HER3 -> AKT, Model=BS). Original note: causal effect mediated by PI3K, others"
1715,HER3_2,HER2,positive,BS,replaced,,,"Duplicated from original edge (HER3 -> HER2, Model=BS). Original note: The HER2-HER3 heterodimer formation is represented with a separate HER2HER3c node. HER3 does not have any effect on HER2 outside of heterodimer formation. This edge is replaced by a HER3->HER2HER3c edge."
1716,HER3,HER3_2,positive,BS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1717,HER3_2,HER3,positive,BS,unsupported,-,,High-level should not activate low-level.
1718,HER3_2,HER3_2,positive,BS,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
1719,NRG1,HER3_2,positive,BS,direct,1,,"Duplicated from original edge (NRG1 -> HER3, Model=BS). Original note: ligand-receptor binding"
1720,erlotinib,HER3_2,negative,BS,indirect,2,,"Duplicated from original edge (erlotinib -> HER3, Model=BS). Original note: causal effect mediated by HER2 or another kinase"
